英語,日本語
Masterpieces,作品
Sakubutsu-tei garden,作仏庭（さくぶつてい）
Tsukumodokoro,作物所
product,作分
deminishing /changing the territory,削・転封
dried bonito shavings,削った鰹節
kezurikake,削掛
Sakumu-ken teahouse,昨夢軒（さくむけん）
Sakutantoji,朔旦冬至
Sakuhei Gate,朔平門
Sakudo Bunshuku,策堂文叔
Shuryo SAKUGEN,策彦周良
a work by Sakugen Shuryo,策彦周良作
Sakuin-de-jiyu-ni-sagaseru Kamon Daizukan (the Great Picture Book of the Family Emblems to be looked up as one's like using the index),索引で自由に探せる家紋大図鑑
Sakuhei-sai,索餅祭
pages 《in a book》 out of order due to an error in binding.,錯簡
complication,錯綜
sakura,桜
Sakuranomiya Station,桜ノ宮駅
branch of cherry trees,桜の枝
famous place for beautiful cherry blossom,桜の名所
Sakura Matsuri Festival,桜まつり
Sakurai Noh,桜井 (能)
Sakurai Rest Area,桜井パーキングエリア
Sakurai Station,桜井駅
a remains of Sakurai Station,桜井駅跡
the Sakurai family,桜井家
Kanesato SAKURAI,桜井兼里
Sakurai-ji Temple,桜井寺
Sakurai Shrine (Sakai Ciity),桜井神社 (堺市)
Sakurai Line,桜井線
Sakura-isshakai (archery circle),桜一射会
"Cherry blossom at the mountain stream, painting",桜花渓流図
sakura-tachibana-tatsuwaku (shaped-shaped curves with cherry and tachibana blossoms),桜橘立涌
Sakurayama Jinja Shrine,桜山神社
Sakurabito,桜人
Sakurabito,桜人の巻
Cherry Stone (Cerasite),桜石
Sakuragawa,桜川
sakuraso-karakusa (arabesque with primrose,桜草唐草
the retired Emperor Sakuramachi,桜町上皇
Emperor Sakuramachi,桜町天皇
Sakuramachi-dono Palace,桜町殿
the Sakuradamongai Incident,桜田門外の変
the Island of Sakura,桜島
Sakurajima Line (JR-Yumesaki Line),桜島線（JRゆめ咲線）
Sakurajima Line Ajigawa-guchi Station,桜島線安治川口
Sakuranobanba-dori Street,桜馬場通
Obai-shosho,桜梅少将
Sakuramoto-bo (Kinpusen Shugen Main Sect),桜本坊（金峯山修験本宗）
Sakura moto no misasagi,桜本陵
Sakuragi tayu,桜木太夫
Sakura-mon (Sakura Gate),桜門
salmon,鮭
Sakenobe-ji Temple,鮭延寺
Sasa-Unagi,笹うなぎ
Sasabayashi (a kind of dance to pray for prosperousharvest),笹ばやし
bamboo leaves and gentian,笹りんどう
Sasako toge (Sasako pass),笹子峠
Rinpu SASAKAWA,笹川臨風
Sasuto Mountain,笹苞山
sakuho,冊封
Sakuho-koku (countries to confer a peerage with a Saku paper),冊封国
Sakuho System (System conferring a peerage with a Saku paper),冊封制度
Sakuryu,冊立
"brush tip (ichomage (a hair-style like a fan, like the leaf of the sacred gingko tree))",刷毛先(銀杏髷)
an event where taking pictures is allowed,撮影可能な行事
Satsujo-shu (another Japanese dictionary made in the Muromachi Era),撮壌集
Fudanotsuji,札ノ辻
Fudanotsuji Station,札ノ辻駅
fudasho,札所
Fudasho Rengokai,札所連合会
Fudanotsuji store,札辻店
Fuda-kiki,札聞き
Sapporo ramen and Hakodate ramen,札幌ラーメンや函館ラーメン
Sapporo Freight Terminal Station,札幌貨物ターミナル駅
"Chuo Ward, Sapporo City",札幌市中央区
sword fight show,殺陣ショー
"killing, destruction of life",殺生
prohibition of killing animails,殺生禁断
Sesshoseki,殺生石
Anglo-Satsuma War,薩英戦争
dialect of Satsu-gu (dialect in Satsuma-no-kuni and Osumi-no-kuni),薩隅方言
Satsu-gun (Satsuma Army),薩軍
Saccho,薩長
Saccho Teikei Rokkajo (six articles of partnership between Satsuma and Choshu),薩長提携六ヶ条
"Satsuma, Choshu, Tosa, Hizen",薩長土肥
"Sacchodohi yuhan (the domains of Satsuma, Choshu, Tosa and Higo)",薩長土肥雄藩
Satsuma-Choshu Alliance,薩長同盟
Saccho group,薩長派
the alliance between Satsuma and Tosa,薩土同盟
Satsudo Meiyaku (the alliance with Satsuma and Tosa),薩土盟約
Satsunangaku school,薩南学派
Satsuma,薩摩
Satsuma (Kagoshima Prefecture),薩摩（鹿児島県）
"Three countries of Satsuma-no-kuni, Osumi-no-kuni and Hyuga-no-kuni",薩摩・大隅国・日向国の三州
Satsuma army,薩摩軍
Satsuma-ken dog,薩摩犬
Satsuma Province,薩摩国
"Kikaigashima, Satsuma Province",薩摩国鬼界ヶ島
"Bonotsu, Satsuma Province",薩摩国坊津
Io-jima Island in Satsuma Province,薩摩国硫黄島
Ujinaga SATSUMA,薩摩氏長
Satsuma ware,薩摩焼
Satsuma-jin (Satsuma citizen),薩摩人
Satsumasendai City,薩摩川内市
Satsuma-cha,薩摩茶
Satsuma-tei residence,薩摩邸
Satsuma-heki,薩摩日置
Satsuma Heki-ryu Koshiya Hozonkai (Preservation Society of Koshiya (the archery for battle that a group of archers shoot under the command of a general) of Heki-ryu school in Satsuma),薩摩日置流腰矢保存会
domain of Satsuma,薩摩藩
period of Satsuma domain's participation in government,薩摩藩参政時代
feudal retainer of Satsuma,薩摩藩士
the lord of Satsuma domain,薩摩藩主
residence of Satsuma Domain,薩摩藩邸
the Incident of setting fire to the residence in Edo of domain of Satsuma,薩摩藩邸の焼き討ち
former estate of the lord of the Satsuma Domain,薩摩藩邸跡
Satsuma domain army going to Hokuriku,薩摩藩北陸出征軍
"Incident of torpedoing Nagasakimaru, chartered ship of the Satsuma domain",薩摩藩傭船長崎丸撃沈事件
Satsuma bushi,薩摩武士
Satsuma warriors,薩摩兵
Satsuma dialect,薩摩弁
Satsuma-age (fried fish cake),薩摩揚げ
Satsuma Io-jima island,薩摩硫黄島
Satsuma style,薩摩拵
Satsukan-kaizoku (to retaliate Satsuma and Aizu Domains),薩奸会賊
Mt. Satta,薩埵山
the Satta-toge Pass,薩埵峠
miscellaneous,雑
Zouka (Other Poetry),雑歌
Zakke-in Temple,雑華院
Zakkeshitsu,雑華室
Ikko adherents of Saiga,雑賀衆
Saiga-ryu/Saika-ryu school,雑賀流
Others,雑格
collected style,雑纂形態
"zoshi, low class maid",雑仕（下仕よりも下の下女）
coarse paper,雑紙
miscellaneous purpose type (the type of paper for miscellaneous purposes),雑紙類
"miscellaneous matters (poetry story, tale of love)",雑事（歌物語、恋愛譚）
Zatsuji-ki,雑事記
zoni (vegetable soup containing rice cakes),雑煮
Zasshu,雑集（ざっしゅう）
Zoshiki,雑色
zoshikicho,雑色長
a porridge of rice and vegitable,雑炊
Zasso-Ketsudansho,雑訴決断所
"10 articles of Act of Procedure in Actions, Zasso-Ketsudansho",雑訴決断所の訴訟手続法10ヶ条
zasso sata (litigation investigation),雑訴沙汰
"Zatsunoh (miscellaneous noh, the others)",雑能
zohyo ,雑兵
Zo-mitsu ,雑密
zatsumusata (trial dealing with civil affairs),雑務沙汰
miscellaneous small trees,雑木
odd-jobs tasks,雑役
zoyo (irregular corvee),雑徭
zappo,雑袍
mackerel,鯖
Saba-no-narezushi (sushi fermented with mackerel and vegetables),鯖のなれずし
Saba-kaido Road,鯖街道
Saba-kaido Marathon,鯖街道マラソン
Sabae,鯖江
Saba-zushi (rod-shaped sushi topped with mackerel),鯖寿司
saba no kokiri (literally chopped mackerel),鯖粉切（さばのこきり)
head on public display,晒し首
to be shown,晒し物
expose to,晒す
Mitsu-Gangi-ogi,三つ雁木扇
Mitsugoya,三ッ郷屋
three-folded paper,三つ折紙
three-folded MINO-GAMI,三つ折美濃
"Mitsudomoe no niwa, the Garden of Mitsudomoe (three tomoe)",三つ巴の庭
Mitsuogiri,三ツ尾伐り
Mitsukaede crest (three maples),三つ楓
Japanese honewort,三つ葉
Mitsuba-aoi (three leaves of Hollyhock),三つ葉葵
Sannomaru,三の丸
Sannomaru Shozokan,三の丸尚蔵館
Sannomaru-dono,三の丸殿
Sannomiya,三ノ宮
Sannomiya Station,三ノ宮 (駅)
Sannomiyakaido,三ノ宮街道
Sannomiya-jinja Shrine (Katagihara),三ノ宮神社 (樫原)
Sannomiya-mura,三ノ宮村
San no kimi (Third daughter),三の君
Santsuzumi drum,三ノ鼓
Onna Sannomiya,三の女宮
sannozen (the third tray),三の膳
Sanaku,三悪
"San-akushu, the world of hungry spirits and the world of animals, three evil worlds hell",三悪趣
San-akudo,三悪道
Sanmi,三位
military officers,三位以上の武官
Sanmi no tsubone,三位局
the investiture as Third Rank,三位叙位
Sanmi no chujo,三位中将
sanne-ippatsu（three robes and one begging bowl ）,三衣一鉢
Mitsui,三井
Mitsui-Muromatchi Family,三井・室町家
Mitsui-Shinmachi Family,三井・新町家
Mitsui-Minami Family,三井・南家
Mitsui-Nagasakacho Family,三井永坂町家
Mitsui Family,三井家
the family temple of the Mitsui,三井家菩提寺
Mitsui Memorial Museum,三井記念美術館
Mitsui Bank,三井銀行
Takayasu MITSUI,三井高泰
Takanao MITSUI,三井高直
Takasuke MITSUI,三井高祐
Takatoshi MITSUI,三井高利
Mitsui-zaibatsu,三井財閥
Mii-dera Temple,三井寺
Mii-dera Temple (Noh),三井寺_(能)
Mitsui-sha Shrine,三井社
Sumitomo Mitsui Banking Corporation,三井住友銀行
Mitsui-jinja Shrine,三井神社
Hachiroemon MITSUI,三井八郎右衛門（高棟）
"Mitsui Fudosan Co., Ltd.",三井不動産
"Mitsui & Co., Ltd.",三井物産
Mitsui-kita family,三井北家
Mitsui Life main building,三井本館
San-ichi Gonjitsu (One-provisional and three-true teaching vehicles) debate,三一権実（さんいちごんじつ）の論争
San'itsu Shobo,三一書房
the Sanpo disturbance,三浦の乱
Ayako MIURA,三浦綾子
Taneyoshi MIURA,三浦胤義
Miuranosuke (Warrior),三浦介
Yoshioki MIURA,三浦義意
Yoshikane MIURA,三浦義鏡
Yoshizumi MIURA,三浦義澄
Yoshimasa MIURA (aka. MIUA Uemon no suke Yoshisizu; a kin of Masatoshi MIURA),三浦義政（三浦正俊の一族・三浦右衛門佐義鎮）
Yoshimura MIURA,三浦義村
Yoshiatsu MIURA,三浦義同
Yoshiaki MIURA,三浦義明
Daughter of Yoshiaki MIURA,三浦義明娘
Yoshitsura MIURA,三浦義連
Kyutaro MIURA,三浦休太郎
Kentaro MIURA,三浦堅太郎
Mitsumura MIURA,三浦光村
Kojiro MIURA,三浦荒次郎
Miura City,三浦市
Miura clan,三浦氏
Miura clan (Wada clan),三浦氏（和田氏）
Yoshimura MIURA,三浦氏の義村
Tokitaka MIURA,三浦時高
Hiroyuki MIURA,三浦周行
MIURA Shunryo,三浦俊良
Kan SHIMOZAWA,三浦常三郎
Masatoshi MIURA,三浦正俊
Yasumura MIURA,三浦泰村
the family of Yasumura MIURA,三浦泰村一族
Baien MIURA,三浦梅園
the Miura Peninsula,三浦半島
Mikumo Station,三雲駅
Sohaku MIKUMO,三雲宗伯
Mitsukoshi,三越
Sanengi,三縁義
"Three families (Kazan'in-ke, Oinomikado-ke, Daigo-ke)",三家（花山院家・大炊御門家・醍醐家）
three chief retainers,三家老
Mikawa,三河
sovereign of Mikawa Province,三河の国主
"Oie-ryu school, Shigenobu group, Mikawa-Ando clan",三河安藤氏重信系御家流
Mikawa Ikko Ikki,三河一向一揆
the domain of Mikawa-Yoshida,三河吉田藩
the lord of the Mikawa-Yoshida domain,三河吉田藩主
Lord of Mikawa Ushikubo Castle,三河牛窪城主
Sogo-bashi Bridge,三河橋
Mikawa lineage,三河系
Mikawa no Gon no kami (Provisional Governor of Mikawa Province),三河権守
Mikawa Province,三河国
Mikawa Province (Aichi Prefecture),三河国（愛知県）
the Matsudaira family (the Tokugawa family) in the Province of Mikawa,三河国の松平氏（徳川氏）
"domain of Iho, Mikawa-no-kuni",三河国伊保藩
"Okazaki, Mikawa Province",三河国岡崎
"domain of Shigehara, Mikawa-no-kuni",三河国重原藩
the domain of Nishio in the Province of Mikawa,三河国西尾藩
Mikawa no kuni zenzu (seal of Ashikaga-cho of Ina-ken),三河国全図（伊那県足助庁（明治2年9月設置）印）
the region of Mikawa Province,三河国地方
"Yatsuhashi, Mikawa province",三河国八ツ橋
Mikawa no kami,三河守
Mikawa region,三河地方
Mikawacha,三河茶
Mikawa Monogatari,三河物語
Mikawa Honshu-ji Temple,三河本宗寺
Mikawa-monto,三河門徒
for Mikawa,三河用
Sanka-shotai platoon,三箇小隊
Sangedatsumon (Three Gates of Liberation),三解脱門
"past, present and future existences, three realms",三界
"Sangaikyo, Sanjiejiao",三階教
Sangaibishi (three rhombus),三階菱
Sankakubuchi Shinjukyo Mirror,三角縁神獣鏡
Triangle,三角形
"the pyramid, or hat or roof shape (Ka-rin = the fire ring)",三角形（または笠形、屋根形）＝火輪
mirrors with triangular rims and designs of divinities and animals,三角鳥獣神鏡
Mitake,三岳
Mitake-san Mountain,三岳山
Mitake-mura,三岳村
Mitake area,三岳地区
Sangaku-doja,三岳道者
Mikasanomiya,三笠宮
the Mikasanomiya family,三笠宮家
Mikasanomiya Imperial Prince Takahito,三笠宮崇仁親王
"Narayama Research Laboratory, Mikasa Industriy Co.,Ltd.",三笠産業（株）「ならやま研究所」
Sankan three Instruments,三管
Sankanshishiki,三管四職
sankanrei (Three deputies),三管領
"sangen-ikko (a 3x2-bay gate, often 8-legged style)",三間一戸
Sangen-Sanko-Nijumon,三間三戸二重門
sangensha nagare-zukuri (architecture of three-bay wide structure with a gable roof),三間社流造（さんげんしゃながれづくり）
sankan-seibatsu,三韓征伐
Mihashira no uzuno miko,三貴子
Sangiitto (book about common knowledge of samurai),三議一統
Sankyuan Ujicha Shiryoshitsu Library,三休庵宇治茶資料館
sannomiya,三宮
Sannomiya Bus Terminal,三宮バスターミナル
Sannomiya Station,三宮駅
Sankyo,三共
Unity of the Three Creeds,三教一致
Misato-yama Mountain,三郷山
Sangyo (three businesses),三業
Sangyochi (place where Sangyo is permitted to do business),三業地
Sankugire (to distinguish meaningly between the first phrase and other phrases),三句切れ
three statues,三躯
Mikuma-gawa River,三隈川
Sankei-en Garden,三渓園
a main hall (hondo) of Sankei-en (former Toumyo-ji Temple),三渓園旧燈明寺本堂
Sankyogisho,三経義疏
Sangatsue,三月会
Sangatsu-do Hall,三月堂
Sanken-no-cho (chiefs of three organization of powers),三権の長
Sammi Station,三見駅
the three virtuous positions,三賢
Sangensai,三元祭
Prince Mihara,三原王子
Sangenin,三玄院
Sankosho ,三鈷杵（さんこしょ）
"Sankogeki, a long, three-pronged spear",三鈷戟
"Sankoken, three-pronged sword",三鈷剣
Sango-ji Temple,三鈷寺
Santsuzumi drum,三鼓
"three imperial palaces, residence of a member of the imperial family",三御所
Sankoin,三光院
Miyoshi Family,三好一族
Miyoshi family,三好家
Yoshioki MIYOSHI,三好義興
Yoshitsugu MIYOSHI,三好義継
Yoshikata MIYOSHI,三好義賢
Yoshifusa MIYOSHI,三好吉房
Miyoshi's army,三好軍
Motonaga MIYOSHI,三好元長
Motonaga MIYOSHI (the legitimate grandson of Yukinaga),三好元長（之長の嫡孫）
Yasunaga MIYOSHI,三好康長
miyoshi sanninshu ,三好三人衆
MIYOSHI clan,三好氏
the head of the Miyoshi clan,三好氏当主
Miyoshi familyhead,三好宗家
Hidetsugu MIYOSHI,三好秀次
Miyoshi's government,三好政権
Masayasu MIYOSHI,三好政康
Masakatsu MIYOSHI,三好政勝
Masanaga MIYOSHI,三好政長
Nagayuki MIYOSHI,三好長逸
Nagayoshi MIYOSHI,三好長慶
Nagayoshi MIYOSHI-zo,三好長慶像
Nagamitsu MIYOSHI,三好長光
Nagaharu MIYOSHI,三好長治
Miyoshi clique,三好党
Yukinaga MIYOSHI,三好之長
Joeki SANKO,三江紹益
Sanko Line,三江線
Sanko,三高
Mikunigaoka Station,三国ヶ丘駅
Sangokuiji,三国遺事
Mikuni-dake Mountain,三国岳
Mikuni Port,三国港
Sangokushi,三国志
Romance of the Three Kingdoms,三国志演義
the Mikuni clan,三国氏
Three Kingdoms period,三国時代
Mikuni-so villa,三国荘
Mikuni no machi,三国町
Three Kingdom Transmission,三国伝来
tripartite alliance,三国同盟
Mikuniminato,三国湊
domain of Mineyama,三根山藩
trident,三叉戟
Sansai-soryu,三斎宗立
Sansai School,三斎流
Misaki-jo Castle,三崎城
sanzaku,三々九（さんざく）
san-san-kudo (a manner for a bride and groom to drink sake at a wedding ceremony),三々九度
Sanzan,三山
three mountains assuage things,三山作鎮
Miyamaki,三山木
Miyamaki Station,三山木駅
Miyamaki-eki-mae,三山木駅前
Miyamaki Elementary School,三山木小学校
Miyamaki Post Office,三山木郵便局
Sansan oyobi Kanzan Jittoku zu,三酸及寒山拾得図
Kenki SAEGUSA,三枝健起
Sanji Chion-ji Temple,三時知恩寺
Mimurodo,三室戸
Mimurodo Station,三室戸駅
the Mimurodo family,三室戸家
Mitsumura MIMURODO,三室戸光村
Miruroto-ji Temple,三室戸寺
Mimuroto Harumitsu,三室戸治光
three letters of pardon,三赦免状
Sanja no yashiro (the Three shrines),三社の社
Sanja-gu,三社宮
Sanja-matsuri Festival,三社祭
the parable of the three carts and the burning house,三車火宅（さんしゃかたく）
three jaku (three Japanese measure),三尺
0.93 meters,三尺一寸
1.12 meters,三尺七寸
Sanwa sinyo / mikoshi (portable shrine carried a part of spirit of SUSANO no Mikoto (a deity of Japanese Mythology)),三若神輿
"third, good at betting",三手
the Three Sacred Treasures of the Imperial Family,三種の神器
combination of three types of wood,三種類の寄木
the second anniversary of death,三周忌
Domination of three countries,三州統一
"Sanshu no Sai (Excellence with composing poetry, singing and playing instrument)",三舟の才
Misohitomoji (thirty-one characters),三十一文字（みそひともじ）
Misomi,三十三
"33 Kannon, Sanjyu-san Kannon",三十三観音
Sanjusangen-do Temple,三十三間堂
Rakuyo Kannon Pilgrimage in Kyoto,三十三所観音霊場第四番
33 cho ( 1cho=99.2 ares),三十三町
Sanjukkoku-bune Boat,三十石船
sanju-so-zo (drawing of 30 founders),三十祖像
Sanjujo sasshi,三十帖策子
Sanjuban shin,三十番神
Sanjuban-shin-zu,三十番神図
the Thirty-six Immortal Poets,三十六歌仙
Sanjurokkasen-emaki Scroll (picture scroll of the portraits of 36 poets),三十六歌仙絵巻
Sanjurokunin-shu,三十六人集
Thirty-six Master Poets Selection,三十六人撰
Shindaibutsu-ji Temple in Mie,三重・新大仏寺
"Choden-ji Temple, Mie",三重・朝田寺
three‐storied pagoda,三重の塔
Mie-go,三重郷
Mie Prefecture,三重県
"Ubushina, Tsu City, Mie Prefecture",三重県津市産品
Mie Prefectural Road,三重県道
Mie Prefectural Art Museum,三重県立美術館
"Mie Kotsu Co.,Ltd.",三重交通
Sanju-sekito (three-story stone pagoda),三重石塔
Mie-mura,三重村
Mie University,三重大学
a three-storied pagoda,三重塔
Hatsushige's painting on the wall of the three-storied pagoda,三重塔初重壁画
the principal image of the three-storied pagoda,三重塔本尊
Chronological Table of Mie,三重年表
three-story pagoda dedicated Buddhist sutras,三重納経塔
mie dasuki,三重襷
domain of Miharu,三春藩
MIKAMI Kichibei,三上吉兵衛
Mikamizan (Kaijuzan),三上山（海住山）
the Three Vehicles carrying sentient beings to the world of enlightenment (referring actually to the three divisions of the teachings of Buddha),三乗
Sanjo,三条
Sanjo Station,三条 (駅)
"Sabjo, Yashima and Omon Mall",三条・八島・大門商店街
a small house at Sanjo,三条の小家
Sanjou-no-kata,三条の方
Sanjo-in,三条院
Sanjo Udaijin,三条右大臣
"FUJIWARA no Sadakata, Sanjo Udaijin",三条右大臣藤原定方
Sanjo Karasuma-tei,三条烏丸第
Sanjo Station,三条駅
Sanjo-Sagaru (to the south of Sanjo),三条下ル
Sanjo Family,三条家
Saneharu SANJO (the Seiga family),三条家実治（清華家）
Sanjo-gawara Riverside,三条河原
Sanjo Shopping Street,三条会商店街
Sanjo-kaido Road,三条街道
Sanjo-kado (at the crossing of Sanjo),三条角
Sanjogamaza,三条釜座
Sanjo no miya,三条宮
Sanjo Keihan,三条京阪
Sanjo Keihan-mae,三条京阪 (前)
Sanjo Keihan Information Center,三条京阪案内所
Sanjo-keihan Station,三条京阪駅
Sanjo-keihanmae,三条京阪前
Sanjo-oike,三条御池
Kimiyori SANJO,三条公依
Prince Kinteru SANJO,三条公輝公爵
Kiminori SANJO,三条公教
the Prince House of Sanjo,三条公爵家
Kinchika SANJO,三条公親
Kiminori SANJO,三条公数
Kintada SANJO,三条公忠
Kinatsu SANJO,三条公敦
Kinyori SANJO,三条公頼
Sanjoguchi Station,三条口駅（さんじょうぐちえき）
Sanjo Takakura,三条高倉
Sanjo Takakura-dei residence,三条高倉第
Saneoki SANJO,三条実起
Sanetsuna SANJO,三条実綱
Saneyuki SANJO,三条実行
Saneka SANJO,三条実香
Saneharu SANJO,三条実治
Sanemori SANJO,三条実盛
Sanetomi SANJO,三条実美
Sanefusa SANJO,三条実房
Sanetsumu SANJO,三条実万
Munechika SANJO,三条宗近
Sanjo's treatment,三条処遇
Sanjonishi Family,三条西家
the library of the Sanjonishi family,三条西家所蔵本
Sanjonishikebon,三条西家本
Suetomo SANJONISHI,三条西季知
Kinkuni SANJONISHI,三条西公国
Kimikatsu SANJO,三条西公勝
Kineda SANJONISHI,三条西公条
Kinyo SANJONISHI,三条西公世
Kinosa SANJONISHI,三条西公正
SANJONISHI,三条西公彦
Kinyasu SANJONISHI,三条西公保
the three generations of Sanjonishi,三条西三代
Saneyoshi SANJONISHI,三条西実義
Sanenri SANJONISHI,三条西実教
Saneiso SANJONISHI,三条西実勲
Sanekane SANJONISHI,三条西実謙
Saneki SANJONISHI,三条西実枝
Saneeda SANJONISHI,三条西実条
Saneyo SANJONISHI (Chief of the Councillor of State),三条西実世（大納言）
Sanekiyo SANJONISHI,三条西実清
Sanetaka SANJONISHI,三条西実隆
Sanjo Ohashi Bridge,三条大橋
Sanjo-ohashi Station,三条大橋駅
Sanjo-ohashi Higashizume,三条大橋東詰
Sanjo Dainagon (chief councilor of state),三条大納言
Sanjo-oji Street,三条大路
Sanjo Nagao Family,三条長尾家
Sanjo-dori Street,三条通り
Saijo-dori Takakura Nishi-iru,三条通高倉西入
Sanjo-dori Higashitoin Higashi-iru,三条通東洞院東入
Sanjo residence site,三条邸跡
Emperor Sanjo,三条天皇
the second consort of the Emperor Sanjo,三条天皇中宮
Sanjo Store,三条店
Sanjo-dono,三条殿
Sanjo Higashinotoin,三条東洞院
Sanjo Higashinotoin-tei,三条東洞院第
Sanjo-shirakawa,三条白川
Sanjonohimemiya (Princess Sanjo),三条姫宮
Sanjo-fujin (Lady Sanjo),三条夫人
Sanjo Tominokoji,三条富小路
Sanjobomonkarasuma,三条坊門烏丸
Sanjo-bomon-koji Street,三条坊門小路
Sanjo-bomon-dori Street,三条坊門通
"Sanjobomon Horikawa (in present-day Horikawa-dori Oike-dori Streets, Nakagyo Ward)",三条坊門堀川（現中京区堀川通御池通）
Sanjokitaura-dori Street,三条北裏通
the Sanjo version,三条本
Sanjo Meitengai Shopping Street,三条名店街商店街
Sanjo Kiyamachi agaru,三条木屋町上ル
Sanjo-ryu school,三条流
"sanjo-daime or three and three-quarters tatami mats size of room in teahouse (a daime is a three-quarter sized tatami mat used for tea ceremony room, a word of sanjo-daime is a tea room arrangement showing a square measure of 3.75-jo in tatami-size)",三畳台目
sanjo nakabashira-iri,三畳中柱入り
holding the post of three offices,三職兼帯
Sanshoku suinin mondai,三職推任問題
sanshikishi(a kind of paper),三色紙
trikaya (three bodies of the Buddha),三身
Kokei the third chief priest,三世古径和尚
Misu koen Park,三栖公園
Misukomon,三栖閘門
Three Seiga Houses,三清華家
Sansho-ji Temple,三聖寺
Sansho-ji Aizendo,三聖寺愛染堂
Mitsuishi-jo Castle,三石城
sanseki,三蹟
Sanzetsu no kane (bell of three masters),三絶の鐘
Sanzenin,三千院
Manzen-in Temple (Kajii Monzeki),三千院（梶井門跡）
statue at Sanzen-in Temple,三千院像
Sanzen-in Monzeki Temple,三千院門跡
Sansenke,三千家
"three Sen-ke families (the Omote Sen-ke, Ura Sen-ke, Mushanokoji Sen-ke families)",三千家（表千家・裏千家・武者小路千家）歴代の墓所
successive graves of three Sen-ke families,三千家の歴代墓地
three Senke families in common,三千家共通
"Sanzen Sekai, the universe, the whole world",三千世界
a thousand Buddha-zu,三千佛図
Mikawa hoshi (an address term for a priest),三川法師
"Sanshu no Sai (Excellence with composing poetry, singing and playing instrument)",三船の才
Mifunegokai,三船御会
Mifune Festival,三船祭
"Mifune Festival (Kurumazaki Jnja Shrine, Ukyo Ward, Kyoto City)",三船祭（京都市右京区 車折神社）
"Mifune Festival (Kurumazaki Jnja Shrine, Ukyo Ward, Kyoto City)",三船祭（車折神社（京都市右京区））
Koretaka MIYOSHI,三善惟孝
MIYOSHI no Tameyasu,三善為康
MIYOSHI no Yasunobu,三善康信
MIYOSHI no Yasutsura,三善康連
Misyoshi clan,三善氏
the Miyoshi family (the Ota family),三善氏（大田氏）
San-zenshu,三善趣
Toshihira MIYOSHI,三善俊衡
Kiyotsugu MIYOSHI,三善清継
Kiyoyuki MIYOSHI,三善清行
Nagahira MIYOSHI,三善長衡
Nichimoku the third,三祖日目
Sanso-yagura Turret,三層櫓
a three-layer lofty building,三層楼閣
Mount Mikusa,三草山
the parable of medicinal herbs,三草二木（さんそうにもく）
Sanzo,三蔵
Tripitaka Teaching,三蔵教
Sanzohoshi,三蔵法師
Santai Jizo,三体地蔵
Santaihakushishikan,三体白氏詩巻
Sandai-Kyaku-Shiki,三代格式
Sandai Jitsuroku,三代実録
"Three major collection (""New Collection of Ancient and Modern"", ""Gosen Collection of Poetry"" and ""Shui collection of poetry""",三代集
"Yoshimitsu ASHIKAGA, the third shogun",三代将軍足利義満
the 3rd Seitaishogun,三代征夷大将軍
Sandai Soron,三代相論
the third chief priest,三代目住職
Tadaharu HORIO the third,三代目堀尾忠晴
Santai,三台
Sandaien,三台塩
San-dai Kyakushiki,三大格式
the three houses of minister,三大臣家
"Sandaihiho, The Three Great Secret Dharmas",三大秘法（さんだいひほう）
Sandaihiho-sho,三大秘法抄
Sandaibu (the three important scriptures),三大部
Mitaka City,三鷹市
Miyake,三宅
Miyake Station (Obama Line Kaminaka Station),三宅（現・小浜線上中）
Miyake Interchange,三宅IC
Miyake-bashi Bridge,三宅橋
Miyakezaka,三宅坂
Komame MIYAKE,三宅小まめ
Shosai MIYAKE,三宅尚斎
Miyake-mura,三宅村
Miyake-jima Kamitsuki,三宅島神着
Miyake-hachiman,三宅八幡バス停
Miyake-Hachiman Station,三宅八幡駅
Miyake Hachimangu Shrine,三宅八幡宮
Yarai MIYAKE,三宅也来
Shozan MIYAKE,三宅嘯山
Mitaniguchi,三谷口
Koki MITANI,三谷幸喜
Sochin MITANI,三谷宗鎮
Kuniaki MITANI,三谷邦明
Mitani school,三谷流 （みたにりゅう）
Santan region,三丹地方
Sandanike-koen Park,三段池公園
three-stage waterfall,三段落ちの滝
Miike clan,三池氏
domain of Mike,三池藩
mihashirano kami (three gods),三柱の神
three pillars of dragon god,三柱の龍神
Mihashira torii,三柱鳥居
Mitsubashira Torii (Mitsutorii),三柱鳥居（三ッ鳥居）
Sanjo-wasan,三帖和讃
Sancho Shinkan,三朝宸翰
three richest men,三長者
Minaga no Mahito,三長真人
san choku-sai Festival,三勅祭
Mitsuya-kofun Tumulus,三津屋古墳
MITSU no Obito Hirono,三津首広野（みつのおびとひろの）
Santeiryo,三帝陵
the three dogmas,三諦
"Sandai Enyu, The Perfectly Integrated Three Truths",三諦円融
Santetsu,三哲
Santetsu-dori Street,三哲通
Mitai,三田井
Sanda Station,三田駅
Mitajiri,三田尻
Mitajiri-ko port,三田尻港
SANDA Makoto,三田誠
Sanzu,三途
"Sanzu-no-kawa, Sanzu River",三途の川
a combination of three city shimbun news,三都新聞連合
Mishima district,三島
Mishima Natsu Matsuri (Mishima Summer Festival),三島夏祭り
Mishima-gun,三島郡
Mishima City,三島市
Mishimade Kyusu (teapot with Mishimade design),三島手急須
